year,assess_group,WGOA,CGOA,EGOA,total_catch,retained,OFL,W_ABC,C_ABC,E_ABC,tot_ABC,W_TAC,C_TAC,E_TAC,tot_TAC
2005,big_skate,26.257,811.22,65.18900000000001,902.6659999999999,72.20212127187686,5332,727,2463,809,3999,727,2463,809,3999
2006,big_skate,72.455,1271.655,344.219,1688.329,54.4428248285731,4726,695,2250,599,3544,695,2250,599,3544
2007,big_skate,68.859,1517.544,7.947,1594.35,48.85376485715182,4726,695,2250,599,3544,695,2250,599,3544
2008,big_skate,132.09,1240.695,45.34,1418.1249999999998,69.96893785808726,4398,632,2065,633,3330,632,2065,633,3330
2009,big_skate,79.304,1902.919,99.526,2081.7490000000003,69.77161992151792,4398,632,2065,633,3330,632,2065,633,3330
2010,big_skate,147.6728041136,2236.1248761393,148.9502633729,2532.7479436257995,70.85173579389262,4438,598,2049,681,3328,598,2049,681,3328
2011,big_skate,110.4894795003,2108.8250579689998,90.0594502145,2309.3739876838,79.77928430436025,4438,598,2049,681,3328,598,2049,681,3328
2012,big_skate,65.5763170426,1901.6477440743,38.2244194373,2005.4484805542,93.61848027053612,5023,469,1793,1505,3767,469,1793,1505,3767
2013,big_skate,121.438551257,2320.6078324099,90.6069003084,2532.6532839753,61.86975868366361,5023,469,1793,1505,3767,469,1793,1505,3767
2014,big_skate,159.1495631099,1396.1422902536,99.16561514440001,1654.4574685079,25.8831728057901,5016,589,1532,1641,3762,589,1532,1641,3762
2015,big_skate,235.9498962706,1210.7742740054,56.3238905741,1503.0480608501,15.896321964599414,5016,731,1257,1267,3255,731,1257,1267,3255
2016,big_skate,167.0857819512,1854.3380782225,49.6403184974,2071.0641786711,32.58901088308984,5086,908,1850,1056,3814,908,1850,1056,3814
2017,big_skate,193.8602261529,1452.7473752978,83.6681900289,1730.2757914796,32.42620958315101,5086,908,1850,1056,3814,908,1850,1056,3814
2018,big_skate,302.7016549328,928.6573750492,78.4185538924,1309.7775838744,38.78899368752053,3797,504,1774,570,2848,504,1774,570,2848
2019,big_skate,132.1789521376,1116.5175717938,101.8407056537,1350.5372295851,48.220530434563955,3797,504,1774,570,2848,504,1774,570,2848
2020,big_skate,31.4799603003,810.9798618319,180.2480167447,1022.7078388769,54.42190307531156,4278,758,1560,890,3208,758,1560,890,3208
2021,big_skate,126.2295003895,429.1214145772,188.6637050252,744.0146199919,15.924621530997587,4278,758,1560,890,3208,758,1560,890,3208
2022,big_skate,164.3615085802,766.2963764723,100.2791550745,1030.937040127,14.738529628344915,3822,591,1482,794,2867,591,1482,794,2867
2023,big_skate,47.4829387751,628.9848823293,115.7841461076,792.2519672120001,20.785422673344385,3822,591,1482,794,2867,591,1482,794,2867
