year,assess_group,total_catch,retained,OFL,ABC,TAC
2005,other_skates,711.302,15.85205721339178,1769,1327,1327
2006,other_skates,1393.2830000000001,18.998293957508988,2156,1617,1617
2007,other_skates,1257.2730000000001,20.38212862282098,2156,1617,1617
2008,other_skates,1374.464,15.047393020115479,2806,2104,2104
2009,other_skates,1547.911,12.897123930251803,2806,2104,2104
2010,other_skates,1496.4022729533,14.558686046415733,2791,2093,2093
2011,other_skates,1388.1760687597998,16.33741087832731,2791,2093,2093
2012,other_skates,1207.3309090769,13.091168694508498,2706,2030,2030
2013,other_skates,1902.6328502173,1.8153894274849276,2706,2030,2030
2014,other_skates,1896.1285065857,5.633121624748508,2652,1989,1989
2015,other_skates,1775.3225652840001,5.907049988959273,2652,2235,2235
2016,other_skates,1637.4623147754999,5.810857285594715,2558,1919,1919
2017,other_skates,1664.8336610636,7.477553107099524,2558,1919,1919
2018,other_skates,745.8430513818,6.308434489002754,1845,1384,1384
2019,other_skates,897.1279961327999,7.767510279100101,1845,1384,1384
2020,other_skates,487.297586142,1.1084958914871241,1166,875,875
2021,other_skates,732.5188985481001,3.6384121806858643,1166,875,875
2022,other_skates,980.5681816422,10.460233037311292,1311,984,984
2023,other_skates,315.9548873178,6.742794245866943,1311,984,984
