year,assess_group,catch_wght
1992,other_skates,0.01
2001,longnose_skate,0.6299999999999999
2002,longnose_skate,4.93
2002,other_skates,959.26
2003,longnose_skate,49.989
2003,other_skates,4495.843
2004,big_skate,1168.802
2004,longnose_skate,454.286
2004,other_skates,1376.001
2005,big_skate,902.666
2005,longnose_skate,1191.594
2005,other_skates,711.302
2006,big_skate,1688.329
2006,longnose_skate,957.034
2006,other_skates,1393.2830000000001
2007,big_skate,1594.35
2007,longnose_skate,1395.638
2007,other_skates,1257.273
2008,big_skate,1418.125
2008,longnose_skate,1112.332
2008,other_skates,1374.464
2009,big_skate,2081.749
2009,longnose_skate,1419.032
2009,other_skates,1547.911
2010,big_skate,2532.7479436258
2010,longnose_skate,1105.5753789256
2010,other_skates,1496.4022729533
2011,big_skate,2309.3739876838
2011,longnose_skate,1042.3473094739
2011,other_skates,1388.1760687598
2012,big_skate,2005.4484805542
2012,longnose_skate,933.5233208823
2012,other_skates,1207.3309090769
2013,big_skate,2532.6532839753
2013,longnose_skate,1796.6185918272
2013,other_skates,1902.6328502173
2014,big_skate,1654.4574685079
2014,longnose_skate,1554.4540961918
2014,other_skates,1896.1285065857
2015,big_skate,1503.0480608501
2015,longnose_skate,1659.7772679885
2015,other_skates,1775.322565284
2016,big_skate,2071.0641786711
2016,longnose_skate,1391.4528814204
2016,other_skates,1637.4623147755
2017,big_skate,1730.2757914796
2017,longnose_skate,1271.4761365816
2017,other_skates,1664.8336610636
2018,big_skate,1309.7775838744
2018,longnose_skate,882.4577940502
2018,other_skates,745.8430513818
2019,big_skate,1350.5372295851
2019,longnose_skate,1005.1265992861
2019,other_skates,897.1279961328
2020,big_skate,1022.7078388769
2020,longnose_skate,648.4325840007
2020,other_skates,487.297586142
2021,big_skate,744.0146199919
2021,longnose_skate,1032.4674704278
2021,other_skates,732.5188985481
2022,big_skate,1030.937040127
2022,longnose_skate,997.8899841375
2022,other_skates,980.5681816422
2023,big_skate,792.251967212
2023,longnose_skate,1055.0194402399
2023,other_skates,315.9548873178
